UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive,session & httponly,folder,sensitive_label,hash_value
a522e422-dad5-4045-a556-0718defe31b6,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/ba4b8bddd7958ecb8772c836c2969531/,0.0,1.0,0.0,20200702_1,1.0,e2998eb2a751277fc3905d514973ca6b3f141a25
6b5b411a-7c7c-40c5-8dc1-c79eac4ad30b,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/df927a4c1764bf2099b261905a8e3b3b/,0.0,1.0,0.0,20200702_1,1.0,ca86883b27ac772a02b0dab8424b199cce99dc92
802ec4db-65e1-4cc0-893d-f5f0fe231ef2,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/7006ca8df78b4db74361baa90eaa1331/,0.0,1.0,0.0,20200702_1,1.0,e72bbc4474883088acf8bac5fd2305173733eb46
8c4daddb-a1e2-48e3-9de3-7707996627d6,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/9f8a975212a9e395bec4c0c8e3d86018/,0.0,1.0,0.0,20200702_1,1.0,1e0edea7067255ce56fb97e6ad82777e80e905a5
f52898ea-3e98-44ad-8025-b16318c973e2,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/70c16ad179de1994f534f88731be9d85/,0.0,1.0,0.0,20200702_1,1.0,f48d7f4ab47cc66b61980a0d56fb6629b537eb80
25398306-18a8-4744-b5e6-bceefe06e809,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/c30f6ce58f22d7fdd1db619995ddf4d8/,0.0,1.0,0.0,20200702_1,1.0,7cc1b6e995a37eb83b6104551e84dc2a99bb645c
8cd92c12-3000-48bc-baba-0756661a392a,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/9eca20e9afde04f136e1a156bab4c913/,0.0,1.0,0.0,20200702_1,1.0,21f3bd0957bfd3510eac50376370b2d4ca805a97
ffca52dc-99a1-4841-a810-f8da4e5b7183,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/70b9b079e0e878831212a4940911d13e/,0.0,1.0,0.0,20200702_1,1.0,24d1044eee270cfc6b85fe10c2e53b4ec61d44d4
286bdb72-9c1d-4a03-86da-466cc3802ded,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/6fd8864caf40ce02240d6f65a0590dce/,0.0,1.0,0.0,20200702_1,1.0,03613218df57a97be989b84a70e28a15a98af6df
7bd5a5b6-15fc-46a8-b0a4-937b808bd552,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/1642a19add2a3341371750e802378fa9/,0.0,1.0,0.0,20200702_1,1.0,d02acaf0f397188ce5328591031cfbcef9d3cc89
c6a5892c-0adc-402f-81e1-9b447adcf482,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/972704647696d205d7aea3ed8a40a12e/,0.0,1.0,0.0,20200702_1,1.0,52149e8ad2decd0428abba33413c3196105074be
12fed2c1-1f3c-4d0c-a360-f1f8b4d98a85,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/98d4587046cce6037f8506f9f7a79c8a/,0.0,1.0,0.0,20200702_1,1.0,2e94f2a192a050d39d2b968f19da3f319658ec19
